Date,type,Location,DO,Ammonia (mg/L),BOD,cBOD,Water Temp. (C),Percipitation (in),Outside Temp. (C) ,sampleID,Dataframe
10/3/2019,aqueous,Pond1.1,9.08,24.16,NA,NA,19,0,16,p107,S
10/5/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,14,p108,S
10/20/2019,aqueous,Pond1.1,1.16,27.84,73,21.5,16.6,0,17,p16,S
10/20/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,17,p3,S
11/8/2019,aqueous,Pond1.1,0.84,41.83,98,69,13.2,0,11,p37,S
11/8/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,11,p56,S
12/9/2019,aqueous,Pond1.1,0.9,49.66,75,NA,12.5,0.45,9,p6,S
12/9/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0.45,9,p61,S
1/9/2020,aqueous,Pond1.1,0.41,,31,NA,12.2,0,11,p80,S
1/9/2020,sludge,Pond1.1,NA,NA,NA,NA,NA,0,11,p95,S
1/17/2020,aqueous,Pond1.1,15.3,8.1,25,40.9,9.3,0.2,2,p110,S
1/17/2020,sludge,Pond1.1,NA,NA,NA,NA,NA,0.2,10,p22,S
10/3/2019,aqueous,Pond1.2,8.4,9.77,NA,NA,18.9,0,16,p26,S
10/5/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,14,p32,S
10/20/2019,aqueous,Pond1.2,0.98,28.82,70.5,N/A,16.6,0,17,p4,S
10/20/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,17,p55,S
11/8/2019,aqueous,Pond1.2,0.86,45.73,93,NA,13.3,0,11,p68,S
11/8/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,11,p73,S
12/9/2019,aqueous,Pond1.2,0.51,43.29,80,NA,12.8,0.45,9,p88,S
12/9/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0.45,9,p19,S
1/9/2020,aqueous,Pond1.2,1.98,,22,NA,10.2,0,11,p20,S
1/9/2020,sludge,Pond1.2,NA,NA,NA,NA,NA,0,11,p31,S
1/17/2020,aqueous,Pond1.2,11.1,9.62,27,NA,9.1,0.2,2,p54,S
