"Date"	"type"	"Location"	"DO"	"Ammonia..mg.L."	"BOD"	"cBOD"	"Water.Temp...C."	"Percipitation..in."	"Outside.Temp...C."	"sampleID"	"Dataframe"	"Season"	"Date2"	"Location_names"
"1"	"10/3/2019"	"aqueous"	"Pond1.1"	9.08	24.16	NA	NA	19	0	16	"p107"	"S"	"Autumn"	2019-10-03	"Oxidation_Pond1"
"3"	"10/20/2019"	"aqueous"	"Pond1.1"	1.16	27.84	73	"21.5"	16.6	0	17	"p16"	"S"	"Autumn"	2019-10-20	"Oxidation_Pond1"
"5"	"11/8/2019"	"aqueous"	"Pond1.1"	0.84	41.83	98	"69"	13.2	0	11	"p37"	"S"	"Winter"	2019-11-08	"Oxidation_Pond1"
"7"	"12/9/2019"	"aqueous"	"Pond1.1"	0.9	49.66	75	NA	12.5	0.45	9	"p6"	"S"	"Winter"	2019-12-09	"Oxidation_Pond1"
"9"	"1/9/2020"	"aqueous"	"Pond1.1"	0.41	NA	31	NA	12.2	0	11	"p80"	"S"	"Spring"	2020-01-09	"Oxidation_Pond1"
"11"	"1/17/2020"	"aqueous"	"Pond1.1"	15.3	8.1	25	"40.9"	9.3	0.2	2	"p110"	"S"	"Spring"	2020-01-17	"Oxidation_Pond1"
"13"	"10/3/2019"	"aqueous"	"Pond1.2"	8.4	9.77	NA	NA	18.9	0	16	"p26"	"S"	"Autumn"	2019-10-03	"Oxidation_Pond1"
"15"	"10/20/2019"	"aqueous"	"Pond1.2"	0.98	28.82	70.5	"N/A"	16.6	0	17	"p4"	"S"	"Autumn"	2019-10-20	"Oxidation_Pond1"
"17"	"11/8/2019"	"aqueous"	"Pond1.2"	0.86	45.73	93	NA	13.3	0	11	"p68"	"S"	"Winter"	2019-11-08	"Oxidation_Pond1"
"19"	"12/9/2019"	"aqueous"	"Pond1.2"	0.51	43.29	80	NA	12.8	0.45	9	"p88"	"S"	"Winter"	2019-12-09	"Oxidation_Pond1"
"21"	"1/9/2020"	"aqueous"	"Pond1.2"	1.98	NA	22	NA	10.2	0	11	"p20"	"S"	"Spring"	2020-01-09	"Oxidation_Pond1"
"23"	"1/17/2020"	"aqueous"	"Pond1.2"	11.1	9.62	27	NA	9.1	0.2	2	"p54"	"S"	"Spring"	2020-01-17	"Oxidation_Pond1"
"25"	"10/3/2019"	"aqueous"	"Pond1.3"	8.7	11.02	NA	NA	18.7	0	16	"p74"	"S"	"Autumn"	2019-10-03	"Oxidation_Pond1"
"27"	"10/20/2019"	"aqueous"	"Pond1.3"	7.24	29.05	34	"N/A"	16.9	0	17	"p87"	"S"	"Autumn"	2019-10-20	"Oxidation_Pond1"
"29"	"11/8/2019"	"aqueous"	"Pond1.3"	0.61	40.33	84	NA	13.2	0	11	"p111"	"S"	"Winter"	2019-11-08	"Oxidation_Pond1"
"31"	"12/9/2019"	"aqueous"	"Pond1.3"	0.61	33.15	78	NA	12.4	0.45	9	"p18"	"S"	"Winter"	2019-12-09	"Oxidation_Pond1"
"33"	"1/9/2020"	"aqueous"	"Pond1.3"	2.5	NA	37	NA	10	0	11	"p53"	"S"	"Spring"	2020-01-09	"Oxidation_Pond1"
"35"	"1/17/2020"	"aqueous"	"Pond1.3"	22	10.81	24	NA	8.5	0.2	2	"p83"	"S"	"Spring"	2020-01-17	"Oxidation_Pond1"
"37"	"10/3/2019"	"aqueous"	"Pond1.4"	9.11	10.2	NA	NA	18.1	0	16	"p9"	"S"	"Autumn"	2019-10-03	"Oxidation_Pond1"
"39"	"10/20/2019"	"aqueous"	"Pond1.4"	2.35	30.19	38	"N/a"	16.9	0	17	"p123"	"S"	"Autumn"	2019-10-20	"Oxidation_Pond1"
